year,winner,gender,country,time,marathon
2018,Dickson Chumba,Male,Kenya,02:05:30,Tokyo
2018,Birhane Dibaba,Female,Ethiopia,02:19:51,Tokyo
2018,Yuki Kawauchi,Male,Japan,02:15:58,Boston
2018,Desi Linden,Female,United States,02:39:54,Boston
2018,Eliud Kipchoge,Male,Kenya,02:04:17,London
2018,Vivian Cheruiyot,Female,Kenya,02:18:31,London
