year,winner,gender,country,time,marathon
1986,Boguslaw Psujek,Male,Poland,02:11:03,Berlin
1986,Charlotte Teske,Female,Germany,02:32:10,Berlin
1986,Robert de Castella,Male,Australia,02:07:51,Boston
1986,Ingrid Kristiansen,Female,Norway,02:24:55,Boston
1986,Gianni Poli,Male,Italy,02:11:06,NYC
1986,Grete Waitz,Female,Norway,02:28:06,NYC
1986,Toshihiko Seko,Male,Japan,02:10:02,London
1986,Grete Waitz,Female,Norway,02:24:54,London
1986,Toshihiko Seko,Male,Japan,02:08:27,Chicago
1986,Ingrid Kristiansen,Female,Norway,02:27:08,Chicago
