year,winner,gender,country,time,marathon
2016,Feyisa Lilesa,Male,Ethiopia,02:06:56,Tokyo
2016,Helah Kiprop,Female,Kenya,02:21:27,Tokyo
2016,Kenenisa Bekele,Male,Ethiopia,02:03:03,Berlin
2016,Aberu Kebede,Female,Ethiopia,02:20:45,Berlin
2016,Lemi Berhanu Hayle,Male,Ethiopia,02:12:45,Boston
2016,Atsede Baysa,Female,Ethiopia,02:29:19,Boston
2016,Ghirmay Ghebreslassie,Male,Eritrea,02:07:51,NYC
2016,Mary Keitany,Female,Kenya,02:24:26,NYC
2016,Eliud Kipchoge,Male,Kenya,02:03:05,London
2016,Jemima Sumgong,Female,Kenya,02:22:58,London
2016,Abel Kirui,Male,Kenya,02:11:23,Chicago
2016,Florence Kiplagat,Female,Kenya,02:21:32,Chicago
