year,winner,gender,country,time,marathon
1988,Suleiman Nyambui,Male,Tanzania,02:11:45,Berlin
1988,Renata Kokowska,Female,Poland,02:29:16,Berlin
1988,Ibrahim Hussein,Male,Kenya,02:08:43,Boston
1988,Rosa Mota,Female,Portugal,02:24:30,Boston
1988,Steve Jones,Male,United Kingdom,02:08:20,NYC
1988,Grete Waitz,Female,Norway,02:28:07,NYC
1988,Henrik Jørgensen,Male,Denmark,02:10:20,London
1988,Ingrid Kristiansen,Female,Norway,02:25:41,London
1988,Alejandro Cruz,Male,Mexico,02:08:57,Chicago
1988,Lisa Weidenbach,Female,United States,02:29:17,Chicago
