year,winner,gender,country,time,marathon
1998,Ronaldo da Costa,Male,Brazil,02:06:05,Berlin
1998,Marleen Renders,Female,Belgium,02:25:22,Berlin
1998,Moses Tanui,Male,Kenya,02:07:34,Boston
1998,Fatuma Roba,Female,Ethiopia,02:23:21,Boston
1998,John Kagwe,Male,Kenya,02:08:45,NYC
1998,Franca Fiacconi,Female,Italy,02:25:17,NYC
1998,Abel Antón,Male,Spain,02:07:57,London
1998,Catherina McKiernan,Female,Ireland,02:26:26,London
1998,Ondoro Osoro,Male,Kenya,02:06:54,Chicago
1998,Joyce Chepchumba,Female,Kenya,02:23:57,Chicago
