year,winner,gender,country,time,marathon
1994,António Pinto,Male,Portugal,02:08:31,Berlin
1994,Katrin Dörre-Heinig,Female,Germany,02:25:15,Berlin
1994,Cosmas Ndeti,Male,Kenya,02:07:15,Boston
1994,Uta Pippig,Female,Germany,02:21:45,Boston
1994,Germán Silva,Male,Mexico,02:11:21,NYC
1994,Tegla Loroupe,Female,Kenya,02:27:37,NYC
1994,Dionicio Cerón,Male,Mexico,02:08:53,London
1994,Katrin Dörre-Heinig,Female,Germany,02:32:34,London
1994,Luíz Antônio,Male,Brazil,02:11:16,Chicago
1994,Kristy Johnston,Female,United States,02:31:34,Chicago
