year,winner,gender,country,time,marathon
2000,Simon Biwott,Male,Kenya,02:07:42,Berlin
2000,Kazumi Matsuo,Female,Japan,02:26:15,Berlin
2000,Elijah Lagat,Male,Kenya,02:09:47,Boston
2000,Catherine Ndereba,Female,Kenya,02:26:11,Boston
2000,Abdelkader El Mouaziz,Male,Morocco,02:10:09,NYC
2000,Lyudmila Petrova,Female,Russia,02:25:45,NYC
2000,António Pinto,Male,Portugal,02:06:36,London
2000,Tegla Laroupe,Female,Kenya,02:24:33,London
2000,Khalid Khannouchi,Male,United States,02:07:01,Chicago
2000,Catherine Ndereba,Female,Kenya,02:21:33,Chicago
