year,winner,gender,country,time,marathon
2011,Hailu Mekonnen,Male,Ethiopia,02:07:35,Tokyo
2011,Noriko Higuchi,Female,Japan,02:28:49,Tokyo
2011,Patrick Musyoki,Male,Kenya,02:03:38,Berlin
2011,Florence Kiplagat,Female,Kenya,02:19:44,Berlin
2011,Geoffrey Mutai,Male,Kenya,02:03:02,Boston
2011,Caroline Kilel,Female,Kenya,02:22:36,Boston
2011,Geoffrey Mutai,Male,Kenya,02:05:06,NYC
2011,Firehiwot Dado,Female,Ethiopia,02:23:15,NYC
2011,Emmanuel Mutai,Male,Kenya,02:04:40,London
2011,Mary Keitany,Female,Kenya,02:19:19,London
2011,Moses Mosop,Male,Kenya,02:05:37,Chicago
2011,Ejegayehu Dibaba,Female,Ethiopia,02:22:09,Chicago
