year,winner,gender,country,time,marathon
2013,Dennis Kimetto,Male,Kenya,02:06:50,Tokyo
2013,Aberu Kebede,Female,Ethiopia,02:25:34,Tokyo
2013,Wilson Kipsang,Male,Kenya,02:03:23,Berlin
2013,Florence Kiplagat,Female,Kenya,02:21:13,Berlin
2013,Lelisa Desisa Benti,Male,Ethiopia,02:10:22,Boston
2013,Rita Jeptoo,Female,Kenya,02:26:25,Boston
2013,Geoffrey Mutai,Male,Kenya,02:08:24,NYC
2013,Priscah Jeptoo,Female,Kenya,02:25:07,NYC
2013,Tsegaye Kebede,Male,Ethiopia,02:06:04,London
2013,Priscah Jeptoo,Female,Kenya,02:20:15,London
2013,Dennis Kimetto,Male,Kenya,02:03:45,Chicago
2013,Rita Jeptoo,Female,Kenya,02:19:57,Chicago
