year,winner,gender,country,time,marathon
2012,Michael Kipyego,Male,Kenya,02:07:37,Tokyo
2012,Atsede Habtamu,Female,Ethiopia,02:25:28,Tokyo
2012,Geoffrey Mutai,Male,Kenya,02:04:15,Berlin
2012,Aberu Kebede,Female,Ethiopia,02:20:30,Berlin
2012,Wesley Korir,Male,Kenya,02:12:40,Boston
2012,Sharon Cherop,Female,Kenya,02:31:50,Boston
2012,Wilson Kipsang,Male,Kenya,02:04:44,London
2012,Mary Keitany,Female,Kenya,02:18:37,London
2012,Tsegaye Kebede,Male,Ethiopia,02:04:38,Chicago
2012,Atsede Baysa,Female,Ethiopia,02:22:03,Chicago
