year,winner,gender,country,time,marathon
1999,Josephat Kiprono,Male,Kenya,02:06:44,Berlin
1999,Tegla Loroupe,Female,Kenya,02:20:43,Berlin
1999,Joseph Chebet,Male,Kenya,02:09:52,Boston
1999,Fatuma Roba,Female,Ethiopia,02:23:25,Boston
1999,Joseph Chebet,Male,Kenya,02:09:14,NYC
1999,Adriana Fernandez,Female,Mexico,02:25:06,NYC
1999,Abdelkader El Mouaziz,Male,Morocco,02:07:57,London
1999,Joyce Chepchumba,Female,Kenya,02:23:22,London
1999,Khalid Khannouchi,Male,Morocco,02:05:42,Chicago
1999,Joyce Chepchumba,Female,Kenya,02:25:59,Chicago
