year,winner,gender,country,time,marathon
1991,Steve Brace,Male,United Kingdom,02:10:57,Berlin
1991,Renata Kokowska,Female,Poland,02:27:36,Berlin
1991,Ibrahim Hussein,Male,Kenya,02:11:06,Boston
1991,Wanda Panfil,Female,Poland,02:24:18,Boston
1991,Salvador García,Male,Mexico,02:09:28,NYC
1991,Liz McColgan,Female,United Kingdom,02:27:32,NYC
1991,Yakov Tolstikov,Male,Soviet Union,02:09:17,London
1991,Rosa Mota,Female,Portugal,02:26:14,London
1991,Joseildo Rocha,Male,Brazil,02:14:33,Chicago
1991,Midde Hamrin,Female,Sweden,02:36:21,Chicago
