year,winner,gender,country,time,marathon
2006,Haile Gebrselassie,Male,Ethiopia,02:05:56,Berlin
2006,Gete Wami,Female,Ethiopia,02:21:34,Berlin
2006,Robert Kipkoech Cheruiyot,Male,Kenya,02:07:14,Boston
2006,Rita Jeptoo,Female,Kenya,02:23:38,Boston
2006,Marílson Gomes dos Santos,Male,Brazil,02:09:58,NYC
2006,Jelena Prokopcuka,Female,Latvia,02:25:05,NYC
2006,Felix Limo,Male,Kenya,02:06:39,London
2006,Deena Kastor,Female,United States,02:19:35,London
2006,Robert Cheruiyot,Male,Kenya,02:07:35,Chicago
2006,Berhane Adere,Female,Ethiopia,02:20:42,Chicago
