year,winner,gender,country,time,marathon
2007,Daniel Njenga,Male,Kenya,02:09:45,Tokyo
2007,Hitomi Niiya,Female,Japan,02:31:02,Tokyo
2007,Haile Gebrselassie,Male,Ethiopia,02:04:26,Berlin
2007,Gete Wami,Female,Ethiopia,02:23:17,Berlin
2007,Robert Kipkoech Cheruiyot,Male,Kenya,02:14:13,Boston
2007,Lidiya Grigoryeva,Female,Russia,02:29:18,Boston
2007,Martin Lel,Male,Kenya,02:09:04,NYC
2007,Paula Radcliffe,Female,United Kingdom,02:23:09,NYC
2007,Martin Lel,Male,Kenya,02:07:41,London
2007,Zhou Chunxiu,Female,China,02:20:38,London
2007,Patrick Ivuti,Male,Kenya,02:11:11,Chicago
2007,Berhane Adere,Female,Ethiopia,02:33:49,Chicago
