year,winner,gender,country,time,marathon
2003,Paul Tergat,Male,Kenya,02:04:55,Berlin
2003,Yasuko Hashimoto,Female,Japan,02:26:32,Berlin
2003,Robert Kipkoech Cheruiyot,Male,Kenya,02:10:11,Boston
2003,Svetlana Zakharova,Female,Russia,02:25:19,Boston
2003,Martin Lel,Male,Kenya,02:10:30,NYC
2003,Margaret Okayo,Female,Kenya,02:22:31,NYC
2003,Gezahegne Abera,Male,Ethiopia,02:07:56,London
2003,Paula Radcliffe,Female,United Kingdom,02:15:25,London
2003,Evans Rutto,Male,Kenya,02:05:50,Chicago
2003,Svetlana Zakharova,Female,Russia,02:23:07,Chicago
