year,winner,gender,country,time,marathon
1995,Sammy Lelei,Male,Kenya,02:07:02,Berlin
1995,Uta Pippig,Female,Germany,02:25:37,Berlin
1995,Cosmas Ndeti,Male,Kenya,02:09:22,Boston
1995,Uta Pippig,Female,Germany,02:25:11,Boston
1995,Germán Silva,Male,Mexico,02:11:00,NYC
1995,Tegla Loroupe,Female,Kenya,02:28:06,NYC
1995,Dionicio Cerón,Male,Mexico,02:08:30,London
1995,Malgorzata Sobanska,Female,Poland,02:27:43,London
1995,Eamonn Martin,Male,United Kingdom,02:11:18,Chicago
1995,Ritva Lemettinen,Female,Finland,02:28:27,Chicago
