year,winner,gender,country,time,marathon
2010,Masakazu Fujiwara,Male,Japan,02:12:19,Tokyo
2010,Alevtina Biktimirova,Female,Russia,02:34:39,Tokyo
2010,Patrick Musyoki,Male,Kenya,02:05:08,Berlin
2010,Aberu Kebede,Female,Ethiopia,02:23:58,Berlin
2010,Robert Kiprono Cheruiyot,Male,Kenya,02:05:52,Boston
2010,Teyba Erkesso,Female,Ethiopia,02:26:11,Boston
2010,Gebregziabher Gebremariam,Male,Ethiopia,02:08:14,NYC
2010,Edna Kiplagat,Female,Kenya,02:28:20,NYC
2010,Tsegaye Kebede,Male,Ethiopia,02:05:19,London
2010,Aselefech Mergia,Female,Ethiopia,02:22:38,London
2010,Samuel Wanjiru,Male,Kenya,02:06:23,Chicago
2010,Atsede Baysa,Female,Ethiopia,02:23:40,Chicago
