,year,winner,gender,country,time,marathon
5,2009,Salina Kosgei,Female,Kenya,02:32:16,Boston
6,2009,Meb Keflezighi,Male,United States,02:09:15,NYC
7,2009,Derartu Tulu,Female,Ethiopia,02:28:52,NYC
8,2009,Samuel Wanjiru,Male,Kenya,02:05:10,London
9,2009,Irina Mikitenko,Female,Germany,02:22:11,London
10,2009,Samuel Wanjiru,Male,Kenya,02:05:41,Chicago
11,2009,Irina Mikitenko,Female,Germany,02:26:31,Chicago
0,2010,Masakazu Fujiwara,Male,Japan,02:12:19,Tokyo
1,2010,Alevtina Biktimirova,Female,Russia,02:34:39,Tokyo
2,2010,Patrick Musyoki,Male,Kenya,02:05:08,Berlin
3,2010,Aberu Kebede,Female,Ethiopia,02:23:58,Berlin
4,2010,Robert Kiprono Cheruiyot,Male,Kenya,02:05:52,Boston
5,2010,Teyba Erkesso,Female,Ethiopia,02:26:11,Boston
6,2010,Gebregziabher Gebremariam,Male,Ethiopia,02:08:14,NYC
7,2010,Edna Kiplagat,Female,Kenya,02:28:20,NYC
8,2010,Tsegaye Kebede,Male,Ethiopia,02:05:19,London
9,2010,Aselefech Mergia,Female,Ethiopia,02:22:38,London
10,2010,Samuel Wanjiru,Male,Kenya,02:06:23,Chicago
11,2010,Atsede Baysa,Female,Ethiopia,02:23:40,Chicago
0,2011,Hailu Mekonnen,Male,Ethiopia,02:07:35,Tokyo
1,2011,Noriko Higuchi,Female,Japan,02:28:49,Tokyo
2,2011,Patrick Musyoki,Male,Kenya,02:03:38,Berlin
3,2011,Florence Kiplagat,Female,Kenya,02:19:44,Berlin
4,2011,Geoffrey Mutai,Male,Kenya,02:03:02,Boston
5,2011,Caroline Kilel,Female,Kenya,02:22:36,Boston
6,2011,Geoffrey Mutai,Male,Kenya,02:05:06,NYC
7,2011,Firehiwot Dado,Female,Ethiopia,02:23:15,NYC
8,2011,Emmanuel Mutai,Male,Kenya,02:04:40,London
9,2011,Mary Keitany,Female,Kenya,02:19:19,London
10,2011,Moses Mosop,Male,Kenya,02:05:37,Chicago
11,2011,Ejegayehu Dibaba,Female,Ethiopia,02:22:09,Chicago
0,2012,Michael Kipyego,Male,Kenya,02:07:37,Tokyo
1,2012,Atsede Habtamu,Female,Ethiopia,02:25:28,Tokyo
2,2012,Geoffrey Mutai,Male,Kenya,02:04:15,Berlin
3,2012,Aberu Kebede,Female,Ethiopia,02:20:30,Berlin
4,2012,Wesley Korir,Male,Kenya,02:12:40,Boston
5,2012,Sharon Cherop,Female,Kenya,02:31:50,Boston
6,2012,Wilson Kipsang,Male,Kenya,02:04:44,London
7,2012,Mary Keitany,Female,Kenya,02:18:37,London
8,2012,Tsegaye Kebede,Male,Ethiopia,02:04:38,Chicago
9,2012,Atsede Baysa,Female,Ethiopia,02:22:03,Chicago
0,2013,Dennis Kimetto,Male,Kenya,02:06:50,Tokyo
1,2013,Aberu Kebede,Female,Ethiopia,02:25:34,Tokyo
2,2013,Wilson Kipsang,Male,Kenya,02:03:23,Berlin
3,2013,Florence Kiplagat,Female,Kenya,02:21:13,Berlin
4,2013,Lelisa Desisa Benti,Male,Ethiopia,02:10:22,Boston
5,2013,Rita Jeptoo,Female,Kenya,02:26:25,Boston
6,2013,Geoffrey Mutai,Male,Kenya,02:08:24,NYC
7,2013,Priscah Jeptoo,Female,Kenya,02:25:07,NYC
8,2013,Tsegaye Kebede,Male,Ethiopia,02:06:04,London
9,2013,Priscah Jeptoo,Female,Kenya,02:20:15,London
10,2013,Dennis Kimetto,Male,Kenya,02:03:45,Chicago
11,2013,Rita Jeptoo,Female,Kenya,02:19:57,Chicago
0,2014,Dickson Chumba,Male,Kenya,02:05:42,Tokyo
1,2014,Tirfi Tsegaye,Female,Ethiopia,02:22:23,Tokyo
2,2014,Dennis Kimetto,Male,Kenya,02:02:57,Berlin
3,2014,Tirfi Tsegaye,Female,Ethiopia,02:20:18,Berlin
4,2014,Meb Keflezighi,Male,United States,02:08:37,Boston
5,2014,Rita Jeptoo,Female,Kenya,02:18:57,Boston
6,2014,Bizunesh Deba,Female,Ethiopia,02:19:59,Boston
7,2014,Wilson Kipsang,Male,Kenya,02:10:59,NYC
8,2014,Mary Keitany,Female,Kenya,02:25:07,NYC
9,2014,Wilson Kipsang,Male,Kenya,02:04:29,London
10,2014,Edna Kiplagat,Female,Kenya,02:20:21,London
11,2014,Eliud Kipchoge,Male,Kenya,02:04:11,Chicago
12,2014,Mare Dibaba,Female,Ethiopia,02:25:37,Chicago
0,2015,Endeshaw Negesse,Male,Ethiopia,02:06:00,Tokyo
1,2015,Birhane Dibaba,Female,Ethiopia,02:23:15,Tokyo
2,2015,Eliud Kipchoge,Male,Kenya,02:04:00,Berlin
3,2015,Gladys Cherono,Female,Kenya,02:19:25,Berlin
4,2015,Lelisa Desisa Benti,Male,Ethiopia,02:09:17,Boston
5,2015,Caroline Rotich,Female,Kenya,02:24:55,Boston
6,2015,Stanley Biwott,Male,Kenya,02:10:34,NYC
7,2015,Mary Keitany,Female,Kenya,02:24:25,NYC
8,2015,Eliud Kipchoge,Male,Kenya,02:04:42,London
9,2015,Tigist Tufa,Female,Ethiopia,02:23:21,London
10,2015,Dickson Chumba,Male,Kenya,02:09:25,Chicago
11,2015,Florence Kiplagat,Female,Kenya,02:23:33,Chicago
0,2016,Feyisa Lilesa,Male,Ethiopia,02:06:56,Tokyo
1,2016,Helah Kiprop,Female,Kenya,02:21:27,Tokyo
2,2016,Kenenisa Bekele,Male,Ethiopia,02:03:03,Berlin
3,2016,Aberu Kebede,Female,Ethiopia,02:20:45,Berlin
4,2016,Lemi Berhanu Hayle,Male,Ethiopia,02:12:45,Boston
5,2016,Atsede Baysa,Female,Ethiopia,02:29:19,Boston
6,2016,Ghirmay Ghebreslassie,Male,Eritrea,02:07:51,NYC
7,2016,Mary Keitany,Female,Kenya,02:24:26,NYC
8,2016,Eliud Kipchoge,Male,Kenya,02:03:05,London
9,2016,Jemima Sumgong,Female,Kenya,02:22:58,London
10,2016,Abel Kirui,Male,Kenya,02:11:23,Chicago
11,2016,Florence Kiplagat,Female,Kenya,02:21:32,Chicago
