year,winner,gender,country,time,marathon
2014,Dickson Chumba,Male,Kenya,02:05:42,Tokyo
2014,Tirfi Tsegaye,Female,Ethiopia,02:22:23,Tokyo
2014,Dennis Kimetto,Male,Kenya,02:02:57,Berlin
2014,Tirfi Tsegaye,Female,Ethiopia,02:20:18,Berlin
2014,Meb Keflezighi,Male,United States,02:08:37,Boston
2014,Rita Jeptoo,Female,Kenya,02:18:57,Boston
2014,Bizunesh Deba,Female,Ethiopia,02:19:59,Boston
2014,Wilson Kipsang,Male,Kenya,02:10:59,NYC
2014,Mary Keitany,Female,Kenya,02:25:07,NYC
2014,Wilson Kipsang,Male,Kenya,02:04:29,London
2014,Edna Kiplagat,Female,Kenya,02:20:21,London
2014,Eliud Kipchoge,Male,Kenya,02:04:11,Chicago
2014,Mare Dibaba,Female,Ethiopia,02:25:37,Chicago
