year,winner,gender,country,time,marathon
1989,Alfredo Shahanga,Male,Tanzania,02:10:11,Berlin
1989,Päivi Tikkanen,Female,Finland,02:28:45,Berlin
1989,Abebe Mekonnen,Male,Ethiopia,02:09:06,Boston
1989,Ingrid Kristiansen,Female,Norway,02:24:33,Boston
1989,Juma Ikangaa,Male,Tanzania,02:08:01,NYC
1989,Ingrid Kristiansen,Female,Norway,02:25:30,NYC
1989,Douglas Wakiihuri,Male,Kenya,02:09:03,London
1989,Véronique Marot,Female,United Kingdom,02:25:56,London
1989,Paul Davies-Hale,Male,United Kingdom,02:11:25,Chicago
1989,Lisa Weidenbach,Female,United States,02:28:15,Chicago
