year,winner,gender,country,time,marathon
1990,Steve Moneghetti,Male,Australia,02:08:16,Berlin
1990,Uta Pippig,Female,Germany,02:28:37,Berlin
1990,Gelindo Bordin,Male,Italy,02:08:19,Boston
1990,Rosa Mota,Female,Portugal,02:25:24,Boston
1990,Douglas Wakiihuri,Male,Kenya,02:12:39,NYC
1990,Wanda Panfil,Female,Poland,02:30:45,NYC
1990,Allister Hutton,Male,United Kingdom,02:10:10,London
1990,Wanda Panfil,Female,Poland,02:26:31,London
1990,Martín Pitayo,Male,Mexico,02:09:41,Chicago
1990,Aurora Cunha,Female,Portugal,02:30:11,Chicago
