year,winner,gender,country,time,marathon
1997,Elijah Lagat,Male,Kenya,02:07:41,Berlin
1997,Catherina McKiernan,Female,Ireland,02:23:44,Berlin
1997,Lameck Aguta,Male,Kenya,02:10:34,Boston
1997,Fatuma Roba,Female,Ethiopia,02:26:23,Boston
1997,John Kagwe,Male,Kenya,02:08:12,NYC
1997,Franziska Rochat-Moser,Female,Switzerland,02:28:43,NYC
1997,António Pinto,Male,Portugal,02:07:55,London
1997,Joyce Chepchumba,Female,Kenya,02:26:51,London
1997,Khalid Khannouchi,Male,Morocco,02:07:10,Chicago
1997,Marian Sutton,Female,United Kingdom,02:29:03,Chicago
