year,winner,gender,country,time,marathon
1992,David Tsebe,Male,South Africa,02:08:07,Berlin
1992,Uta Pippig,Female,Germany,02:30:22,Berlin
1992,Ibrahim Hussein,Male,Kenya,02:08:14,Boston
1992,Olga Markova,Female,Russia,02:23:43,Boston
1992,Willie Mtolo,Male,South Africa,02:09:29,NYC
1992,Lisa Ondieki,Female,Australia,02:24:40,NYC
1992,António Pinto,Male,Portugal,02:10:02,London
1992,Katrin Dörre-Heinig,Female,Germany,02:29:39,London
1992,José Cesar de Souza,Male,Brazil,02:16:14,Chicago
1992,Linda Somers,Female,United States,02:37:41,Chicago
